,id,home_team_api_id,away_team_api_id,dif_goals,home_team_offense_rates,home_team_center_rates,home_team_defense_rates,away_team_offense_rates,away_team_center_rates,away_team_defense_rates,home_team_average_height,home_team_average_weight,away_team_average_height,away_team_average_weight,average_home_odd,average_draw_odd,average_away_odd
0,0,9825,8472,0,49.0,45.3,49.0,52.7,51.3,44.0,182.9,165.2,179.6,170.1,1.39,4.5,8.51
1,1,8668,10260,1,48.7,45.7,56.7,59.0,44.7,46.3,181.3,171.4,180.3,165.3,4.22,3.53,1.87
2,2,9879,9850,5,51.0,47.3,32.0,54.7,45.7,44.7,184.7,176.2,183.6,173.1,1.81,3.55,4.47
3,3,8456,8466,1,47.7,41.0,46.7,49.7,42.7,56.7,181.5,171.2,181.3,165.5,1.18,6.63,16.68
4,4,10261,8586,1,45.7,44.7,53.7,54.0,38.0,55.0,182.6,175.5,181.0,167.5,2.57,3.32,2.75
5,5,10172,10003,-5,53.7,47.0,49.3,40.3,43.7,54.3,180.8,167.0,178.0,170.4,2.02,3.39,3.69
6,6,9798,10194,0,49.0,47.3,54.0,48.3,42.3,39.7,182.6,177.5,186.1,170.5,2.39,3.26,3.04
7,7,8659,8650,3,54.3,46.7,43.3,45.3,50.3,53.7,184.7,174.7,183.1,169.5,4.0,3.46,1.93
8,8,8654,10252,1,57.0,61.3,35.0,55.7,56.7,44.3,186.3,181.5,181.0,164.5,2.25,3.32,3.25
9,9,8528,8455,-2,54.7,46.0,54.3,56.7,52.3,42.0,182.9,170.1,182.6,178.9,6.05,3.87,1.58
10,10,9879,8668,0,51.0,47.3,32.0,48.7,45.7,56.7,184.7,173.3,180.8,168.4,2.67,3.34,2.59
11,11,8650,10261,0,45.3,50.3,53.7,45.7,44.7,53.7,181.7,167.8,182.0,172.4,1.57,4.0,6.05
12,12,10260,9825,1,59.0,44.7,46.3,49.0,45.3,49.0,182.4,165.6,181.3,167.3,1.69,3.86,5.07
13,13,9850,10194,1,54.7,45.7,44.7,48.3,42.3,39.7,182.6,173.7,188.0,174.0,2.61,3.28,2.75
14,14,10172,9798,0,53.7,47.0,49.3,49.0,47.3,54.0,181.0,169.7,182.6,169.0,1.84,3.6,4.25
15,15,8472,10252,-1,52.7,51.3,44.0,55.7,56.7,44.3,180.8,168.4,180.8,167.2,2.04,3.31,3.81
16,16,10003,8455,0,40.3,43.7,54.3,56.7,52.3,42.0,179.2,170.5,182.9,176.0,4.61,3.68,1.77
17,17,8586,8528,-1,54.0,38.0,55.0,54.7,46.0,54.3,182.4,171.1,182.4,171.0,1.45,4.4,7.12
18,18,8659,8466,2,54.3,46.7,43.3,49.7,42.7,56.7,184.5,174.5,182.6,168.2,1.73,3.71,4.91
19,19,8654,8456,0,57.0,61.3,35.0,47.7,41.0,46.7,184.0,173.9,184.5,177.7,4.89,3.81,1.7
20,20,9825,9879,0,49.0,45.3,49.0,51.0,47.3,32.0,182.0,168.3,184.0,172.8,1.54,4.09,6.28
21,21,10252,10260,-1,55.7,56.7,44.3,59.0,44.7,46.3,181.3,168.0,182.4,169.0,6.72,4.25,1.49
22,22,8455,8650,0,56.7,52.3,42.0,45.3,50.3,53.7,181.7,173.5,182.0,168.2,1.94,3.54,3.94
